State  (L1 Districts of Nepal),Post Codes,City (L2 Muncipalities of Nepal),Address (L3 Area/Landmark),Delivery service,Routing Hub2,COD,Service Level Ex KTM,Service Remarks,Addtional Cost Ex KTM per KG
Nawalpur,33008,Gaidakot,Thumsi Area,YES,Bharatpur ,Yes,,,
Nawalpur,33008,Gaidakot,Thunsi Hotel Line,,,,,,
Nawalpur,33010,Madhyabindu,Aashma Nagar,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Arunkhola Bazaar,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Bakhor,,,,,,
Nawalpur,33010,Madhyabindu,Chaurangi,,,,,,
Nawalpur,33010,Madhyabindu,Devkota Tole,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Dhajaha Tole,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Fulbari,,,,,,
Nawalpur,33010,Madhyabindu,Madhyabindu Football Ground,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Mathillo Bhiuran,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Naya Belhani,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Ranitar,,,,,,
Nawalpur,33010,Madhyabindu,Shivanagar Bazar,YES,Bharatpur ,Yes,,,
Nawalpur,33010,Madhyabindu,Tareni,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,28 Bigaha Play Ground Area,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,3 Gara,,,,,,
Nawalpur,33017,Kawasoti,7 Gara,,,,,,
Nawalpur,33017,Kawasoti,Bal Chowk,,,,,,
Nawalpur,33017,Kawasoti,Bhattola,,,,,,
Nawalpur,33017,Kawasoti,Bihani Chowk,,,,,,
Nawalpur,33017,Kawasoti,Bishnunagar,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Budhauli Kuna,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Chhahari Chowk,,,,,,
Nawalpur,33017,Kawasoti,Danda,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Danda,,,,,,
Nawalpur,33017,Kawasoti,Falful Chowk,,,,,,
Nawalpur,33017,Kawasoti,Gyanodaya Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Hallchowk,,,,,,
Nawalpur,33017,Kawasoti,Hattikhor,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Indra Chowk,,,,,,
Nawalpur,33017,Kawasoti,Kawasoti Football Field Area,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Lumbini Collage Area,,,,,,
Nawalpur,33017,Kawasoti,Magarkot,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Namaste Chowk,,,,,,
Nawalpur,33017,Kawasoti,Nawadurga Stadium Area,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Neaura Chowk,,,,,,
Nawalpur,33017,Kawasoti,Panchakanya Chowk,,,,,,
Nawalpur,33017,Kawasoti,Panchaknya Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Panitanki Chowk,,,,,,
Nawalpur,33017,Kawasoti,Puranu Kawasoti,,,,,,
Nawalpur,33017,Kawasoti,Ramnagar Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Sagarmatha Tol,,,,,,
Nawalpur,33017,Kawasoti,Savapati Chowk,,,,,,
Nawalpur,33017,Kawasoti,Sital Chowk,,,,,,
Nawalpur,33017,Kawasoti,Taruwa,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Thakali Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Thakali Chowk,,,,,,
Nawalpur,33017,Kawasoti,Thana Chowk,YES,Bharatpur ,Yes,,,
Nawalpur,33017,Kawasoti,Thana Chowk,,,,,,
Nuwakot,44900,Bidur,Aapghari,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Bagtar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Bandre,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Battar Bazar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Battar Buspark,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Bidur Prahari Beat,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Bogati Gaau,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Buspark Area,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Cdo Oficce Area,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Colony,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Colony Chauki Area,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Damki Chowk,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Deurali Chowk,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Ghantaghar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Hattigauda Chowk,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Hawaghar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Hospital Road,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Jd Boarding Area,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Jharpati,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Kimbang Tol,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Macchapokhari,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Macchapuchre Bank Chowk,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Majhitar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Mathillo Bidur,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Pade Gaau,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Panchakanya,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Phulbari,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Pipaltar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Raising,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Sichai,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Simutar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Sp Office,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Subha Ghat,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Trishuli Bhitri Bazaar,YES,Trishuli,Yes,,,
Nuwakot,44900,Bidur,Trishuli Dhunge,YES,Trishuli,Yes,,,
Okhaldhunga,56100,Siddhicharan,Ganesh Mandir Chowk,YES,Okhaldhunga,,,,
Okhaldhunga,56100,Siddhicharan,Jilla Prasasan Area,YES,Okhaldhunga,,,,
Okhaldhunga,56100,Siddhicharan,Milanchowk,YES,Okhaldhunga,,,,
Okhaldhunga,56100,Siddhicharan,Okhaldhunga Bazar,YES,Okhaldhunga,,,,
Okhaldhunga,56100,Siddhicharan,Pallo Bazar,YES,Okhaldhunga,,,,
Okhaldhunga,56100,Siddhicharan,Ram Bazar,YES,Okhaldhunga,,,,
Okhaldhunga,56100,Siddhicharan,Ramailo Danda,YES,Okhaldhunga,,,,
p,56500,Siraha,,YES,Lahan,,,,
Palpa,32500,Tansen,Aishworya School Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Bartung Bus Stop Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Basantpur,,,,,,
Palpa,32500,Tansen,Bastari,,,,,,
Palpa,32500,Tansen,Batshedada,,,,,,
Palpa,32500,Tansen,Bazzar,,,,,,
Palpa,32500,Tansen,Bhairavsthan,,,,,,
Palpa,32500,Tansen,Bishal,,,,,,
Palpa,32500,Tansen,Burtung,,,,,,
Palpa,32500,Tansen,Damkadada,,,,,,
Palpa,32500,Tansen,Hotel Srinagar Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Kailashnagar,,,,,,
Palpa,32500,Tansen,Kajipauwa,,,,,,
Palpa,32500,Tansen,Laharepipal,,,,,,
Palpa,32500,Tansen,Lamdhada,,,,,,
Palpa,32500,Tansen,Lumbini Medical College Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Mehaldhara,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Mehekghara,,,,,,
Palpa,32500,Tansen,Mission Hospital,,,,,,
Palpa,32500,Tansen,Narayansthan Pond Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Narayanthan,,,,,,
Palpa,32500,Tansen,Palpa Eye Hospital Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Palpa Hospital Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Parbhas,,,,,,
Palpa,32500,Tansen,Taksar Tole,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Tansen Bus Park Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Tansen Multiple Campus Area,YES,Butwal,Yes,,,
Palpa,32500,Tansen,Tudikhel,YES,,,,,
Palpa,32500,Tansen,United Mission Hospital Area,YES,Butwal,Yes,,,
Palpa,32509,Rampur,,YES,,,,,
Panchthar,57400,Phidim,,YES,Birtamod,,,,
Parasi,33000,Ramgram,Bhumahi,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Buddha Chowk,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Durga Mandir,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Manari,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Parasi Bus Park Area,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Ramagrama Relic Stupa Area,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Ramgram Municipality Office Area,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Sukrauli,YES,Ramgram,Yes,,,
Parasi,33000,Ramgram,Ujaini Chowk,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Bardaghat Bazzar,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Bardaghat Bus Stop Area,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Basa,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Basa Basahi Chowk,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Bhumai,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Bhuttha,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Bidhut Chowk,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Brize,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Chisapani,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Chisapani Hospital Area,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Dhurbatol,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Gopigunj,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Jahada,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Jamuniya,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,London Bandakhola,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Makar,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Mohini Cinema Hall Area,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Narayan Chowk,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Panchanagar,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Salbas,YES,Ramgram,Yes,,,
Parasi,33011,Bardaghat,Upahar Nagar Park Area,YES,Ramgram,Yes,,,
Parasi,33015,Sunwal,Badera,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Bankatti,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Bumai,,,,,,
Parasi,33015,Sunwal,Cement Factory,,,,,,
Parasi,33015,Sunwal,Ghodaha,,,,,,
Parasi,33015,Sunwal,Jayamire,,,,,,
Parasi,33015,Sunwal,Jyamire,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Kerbani,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Mahakavi Devkota Campus Area,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Sunwal Bazzar,,,,,,
Parasi,33015,Sunwal,Sunwal Bus-Station Area,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Sunwal Church Area,YES,Butwal,Yes,,,
Parasi,33015,Sunwal,Swathi Area,YES,Butwal,Yes,,,
Parbat,33400,Kusma,Aarmadi,,,,,,
Parbat,33400,Kusma,Badagaau,,,,,,
Parbat,33400,Kusma,Chhamarkey,,,,,,
Parbat,33400,Kusma,Dhaneshwor Chowk,,,,,,
Parbat,33400,Kusma,Dimuwa,,,,,,
Parbat,33400,Kusma,Durlung Chowk,,,,,,
Parbat,33400,Kusma,Kusma Bazar,YES,Kusma ,,,,
Parbat,33400,Kusma,Loktantra Chowk,,,,,,
Parbat,33400,Kusma,Maitri Chowk,,,,,,
Parbat,33400,Kusma,Maldhunga,,,,,,
Parbat,33400,Kusma,Nayapool,,,,,,
Parbat,33400,Kusma,Patichaur,,,,,,
Parbat,33400,Kusma,Shivalaya Chowk,,,,,,
Parsa,44300,Birgunj,Ashokvatika Chowk,,,,,,
Parsa,44300,Birgunj,Banarasi Chowk,,,,,,
Parsa,44300,Birgunj,Barham,,,,,,
Parsa,44300,Birgunj,Beshnodevi,,,,,,
Parsa,44300,Birgunj,Bhansar Chowk,,,,,,
Parsa,44300,Birgunj,Bhanu Chowk,,,,,,
Parsa,44300,Birgunj,Birgunj Buspark Area,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Birgunj Customs Area,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Birta Chowk,,,,,,
Parsa,44300,Rupendehi,Bokhar Chowk,,,,,,
Parsa,44300,Birgunj,Brahma Chowk Area,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Buspark,,,,,,
Parsa,44300,Birgunj,Dryport,,,,,,
Parsa,44300,Birgunj,Gandak,,,,,,
Parsa,44300,Birgunj,Ghantaghar,,,,,,
Parsa,44300,Birgunj,Inaruwa Chowk,,,,,,
Parsa,44300,Birgunj,Maisthan,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Malpot Chowk,,,,,,
Parsa,44300,Birgunj,Medical Road,,,,,,
Parsa,44300,Birgunj,Murli Chowk,,,,,,
Parsa,44300,Birgunj,Nagwa Chowk,,,,,,
Parsa,44300,Birgunj,Powerhouse,,,,,,
Parsa,44300,Birgunj,Powerhouse Area,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Pratima Chowk Area,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Radhemai Area,YES,Birgunj,Yes,,,
Parsa,44300,Birgunj,Railway Road,,,,,,
Parsa,44300,Birgunj,Rajanti Chowk,,,,,,
Parsa,44300,Birgunj,Ramghadwa Chowk,,,,,,
Parsa,44300,Birgunj,Ranighat,,,,,,
Parsa,44300,Birgunj,Reshamkothi 6 No Gate,,,,,,
Parsa,44300,Birgunj,Shreepur,,,,,,
Parsa,44300,Birgunj,Shreeram Hall,,,,,,
Parsa,44300,Birgunj,Vishwa Chowk,,,,,,
Pyuthan,22300,Pyuthan,Bagdula,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Bijayanagar,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Bijuwar,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Bizuwar Tari,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Cherneta,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Dakhaquady,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Jumri Buspark,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Puhdyakhola. Tikuri,YES,Kathmandu,,,,
Pyuthan,22300,Pyuthan,Ratamata,YES,Kathmandu,,,,
Ramechhap,45400,Manthali,,YES,Ramechhap,,,,
Rasuwa,45001,Gosaikunda,Dhunche,YES,Kathmandu,YES,,Third Party,300
Rautahat,44500,Gaur,Bahuarwa Chowk,,,,,,
Rautahat,44500,Gaur,Basantpur,,,,,,
Rautahat,44500,Gaur,Bhansar Chowk,,,,,,
Rautahat,44500,Gaur,Bidyapatinagar,,,,,,
Rautahat,44500,Gaur,Bp Chowk. Kabir Chowk,YES,Gaur,,,,
Rautahat,44500,Gaur,Buspark,,,,,,
Rautahat,44500,Gaur,Fatuwa,,,,,,
Rautahat,44500,Gaur,Gadahiya Chowk,,,,,,
Rautahat,44500,Gaur,Idrish Gate,,,,,,
Rautahat,44500,Gaur,Islam Chowk,,,,,,
Rautahat,44500,Gaur,Jhankhunwa,,,,,,
Rautahat,44500,Gaur,Jumabi School Road,,,,,,
Rautahat,44500,Gaur,Koiriyat,,,,,,
Rautahat,44500,Gaur,Laxmipur,,,,,,
Rautahat,44500,Gaur,Madhuwaba Chowk,,,,,,
Rautahat,44500,Gaur,Mahadevpati Chowk,,,,,,
Rautahat,44500,Gaur,Motipur,,,,,,
Rautahat,44500,Gaur,Nepal Loug Chowk,,,,,,
Rautahat,44500,Gaur,Pathai Chowk,,,,,,
Rautahat,44500,Gaur,Pothra,,,,,,
Rautahat,44500,Gaur,Rajdevi Chowk,,,,,,
Rautahat,44500,Gaur,Ramnagar Chowk,,,,,,
Rautahat,44500,Gaur,Sabgada,,,,,,
Rautahat,44500,Gaur,Shiswa,,,,,,
Rautahat,44500,Gaur,Shrisya Hajaminiya,,,,,,
Rautahat,44500,Gaur,Tikuliya,,,,,,
Rautahat,44513,Chandrapur,Altoki,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Balchanpur,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Basantapur,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Chiriyadha Chowk,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Deurali Chowk,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Dumariya,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Gairatar,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Milan Chowk. Chandranigahapur Bazzar,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Mothiyahi,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Santapur,YES,Kathmandu,YES,,,
Rautahat,44513,Chandrapur,Sindurighari,YES,Kathmandu,YES,,,
Rautahat,44517,Garuda,Garuda Bazar,YES,Kathmandu,YES,,,
Rolpa,22100,Rolpa,,YES,Tulsipur ,,,,
Rukum East,22002,Rukumkot,Rukumkot,YES,Kathmandu,YES,,Third party,300
Rukum West,22000,Musikot,Serigaun,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Sale,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Matha,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Tallo Bazzar,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Buspark,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Barah Takura,YES,Kathmandu,,,,
Rukum West,22000,Musikot,,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Patukhola,YES,Kathmandu,,,,
Rukum West,22000,Musikot,Rukum Khalanga,YES,Kathmandu,,,,
Rupandehi,32900,Siddharthanagar,Airpot,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Bellaiya,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Bhairahawa Airport Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Bhairahawa Buspark Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Bhairahawa Customs Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Brishapati College Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Buddha Chowk,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Buddha Chowk Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Buspark,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Darkachua Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Devkota Chowk Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Durga Colony,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Electricity Office Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Kattaiya,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Madhauliya Bethari,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Medical College,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Milan Chowk Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Padsari,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Patthardada,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Ranigaun Area,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Sunauli,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Thitepipal,YES,Bhairawa,Yes,,,
Rupandehi,32900,Siddharthanagar,Universal College Area,YES,Bhairawa,Yes,,,
Rupandehi,32902,Sudhdhodhan,,YES,Butwal,Butwal,,Drop,
Rupandehi,32903,Tillotama,Pathardada,YES,Butwal,Yes,,,
Rupandehi,32903,Tillotama,Manigram,YES,Butwal,Yes,,,
Rupandehi,32906,Lumbini Sanskritik,Lakshmipur,YES,Bhairawa,Yes,,,
Rupandehi,32906,Lumbini Sanskritik,Lumbini Bikas Kosh Area,YES,Bhairawa,Yes,,,
Rupandehi,32906,Lumbini Sanskritik,Madhubani,YES,Bhairawa,Yes,,,
Rupandehi,32906,Lumbini Sanskritik,Mahajidiya,YES,Bhairawa,Yes,,,
Rupandehi,32906,Lumbini Sanskritik,Padariya,YES,Bhairawa,Yes,,,
Rupandehi,32906,Lumbini Sanskritik,Tenuhawa,YES,Bhairawa,Yes,,,
Rupandehi,32907,Butwal,Aadrashnagar,,,,,,
Rupandehi,32907,Butwal,Amarpath,,,,,,
Rupandehi,32907,Butwal,Base Camp,,,,,,
Rupandehi,32907,Butwal,Belbash,,,,,,
Rupandehi,32907,Butwal,Buddhanagar,,,,,,
Rupandehi,32907,Butwal,Butwal Campus Area,YES,Butwal,Yes,,,
Rupandehi,32907,Butwal,Charange,,,,,,
Rupandehi,32907,Butwal,Chauraha,,,,,,
Rupandehi,32907,Butwal,Chidiyakhola,,,,,,
Rupandehi,32907,Butwal,Deepnagar,,,,,,
Rupandehi,32907,Butwal,Devinagar,,,,,,
Rupandehi,32907,Butwal,Fulbari,,,,,,
Rupandehi,32907,Butwal,Golpark,YES,Butwal,Yes,,,
Rupandehi,32907,Butwal,Golpark,,,,,,
Rupandehi,32907,Butwal,Hatbazar,,,,,,
Rupandehi,32907,Butwal,Hospital Line,,,,,,
Rupandehi,32907,Butwal,Kalika Nagar,,,,,,
Rupandehi,32907,Butwal,Kalikanagar,,,,,,
Rupandehi,32907,Butwal,Laxminagar,YES,Butwal,Yes,,,
Rupandehi,32907,Butwal,Laxminagar,,,,,,
Rupandehi,32907,Butwal,Mainabagar,,,,,,
Rupandehi,32907,Butwal,Milanchowk,YES,Butwal,Yes,,,
Rupandehi,32907,Butwal,Milanchowk,,,,,,
Rupandehi,32907,Butwal,Nepalgunj Road,,,,,,
Rupandehi,32907,Butwal,Puspalal Park,,,,,,
Rupandehi,32907,Butwal,Ramnagar,,,,,,
Rupandehi,32907,Butwal,Siddhababa,,,,,,
Rupandehi,32907,Butwal,Sukkhanagar,,,,,,
Rupandehi,32907,Butwal,Traffic Chowk,,,,,,
Rupandehi,32908,Omsatiya,,YES,Bhairawa,,,,
Rupandehi,32909,Devdaha,,YES,Butwal,,,,
Rupandehi,32915,Sainamaina,,YES,Butwal,,,,
Salyan,22200,Sharada,Khalanga,YES,Tulsipur,,,,
Salyan,22200,Sharada,Lanti,YES,Tulsipur,,,,
Salyan,22200,Sharada,Shreenagar,YES,Tulsipur,,,,
Salyan,22200,Sharada,Jilla Hospital,YES,Tulsipur,,,,
Salyan,22200,Sharada,Luwathi School,YES,Tulsipur,,,,
Salyan,22200,Sharada,Saangar,YES,Tulsipur,,,,
Salyan,22200,Sharada,Sitalpati,YES,Tulsipur,,,,
Salyan,22200,Sharada,Shantinagar,YES,Tulsipur,,,,
Salyan,22200,Sharada,Saautola,YES,Tulsipur,,,,
Sankhuwasabha,56900,Khandbari,,YES,Itahari,,,,
Sankhuwasabha,56902,Chainpur Sankhuwasabha,,YES,Itahari,,,,
Saptari,56400,Rajbiraj,Airport Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Biharpur,,,,,,
Saptari,56400,Rajbiraj,Bisnupur,,,,,,
Saptari,56400,Rajbiraj,Boriya Petrol Pump Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Gajendra Narayan Singh Chowk,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Hairi Bharuwa,,,,,,
Saptari,56400,Rajbiraj,Hanuman Nagar,,,,,,
Saptari,56400,Rajbiraj,Islampur Purni Pokhri,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Jhalachhi,,,,,,
Saptari,56400,Rajbiraj,Karn Park Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Kharsal Tole,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Maled,,,,,,
Saptari,56400,Rajbiraj,Maleth,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Manasapur,,,,,,
Saptari,56400,Rajbiraj,Pulchowk,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Raj Devi Field Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Rajbiraj Model Campus Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Rampur,,,,,,
Saptari,56400,Rajbiraj,Rupni,,,,,,
Saptari,56400,Rajbiraj,Shree Shiv Baba Mandir Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Telarigachha,,,,,,
Saptari,56400,Rajbiraj,Tetri Gachhi Chowk,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Topa,,,,,,
Saptari,56400,Rajbiraj,Turanti Pokhari Area,YES,Lahan,Yes,,,
Saptari,56400,Rajbiraj,Urban Green Park Area,YES,Lahan,Yes,,,
Sarlahi,45800,Malangwa,Adalat Chowk,,,,,,
Sarlahi,45800,Malangwa,Agarwa,,,,,,
Sarlahi,45800,Malangwa,Balmandir Chowk,,,,,,
Sarlahi,45800,Malangwa,Bhelhi Chowk,,,,,,
Sarlahi,45800,Malangwa,Bhramhapuri,,,,,,
Sarlahi,45800,Malangwa,Chakarbatta,,,,,,
Sarlahi,45800,Malangwa,Chameli Mai Chowk,,,,,,
Sarlahi,45800,Malangwa,Ddc Chowk,,,,,,
Sarlahi,45800,Malangwa,Gamhariya,,,,,,
Sarlahi,45800,Malangwa,Jilla Adalat,,,,,,
Sarlahi,45800,Malangwa,Kabilasi,,,,,,
Sarlahi,45800,Malangwa,Malangwa Bazar,,,,,,
Sarlahi,45800,Malangwa,Shivasagar Chowk,,,,,,
Sarlahi,45801,Lalbandi,Army Camp Gate,,,,,,
Sarlahi,45801,Lalbandi,Ghiimire Chowk,,,,,,
Sarlahi,45801,Lalbandi,Janauary Chowk,,,,,,
Sarlahi,45801,Lalbandi,Jutpani,,,,,,
Sarlahi,45801,Lalbandi,Nawalpur,,,,,,
Sarlahi,45801,Lalbandi,Ranigunj,,,,,,
Sarlahi,45804,Hariwan,Bagmati,,,,,,
